File name,Empty transcriptions,Empty words
empty_rows_base,"[516, 993, 1065, 1240, 1286, 2046, 2407, 3223, 3526, 3747, 3850, 3883, 3923, 3978, 4406, 4421, 4591, 4687, 5956, 5959, 6194, 6289, 6609, 6621, 6816, 7101, 7181, 7182, 7205, 7272, 7620, 7727, 7894, 8382, 8891]",
empty_whisper_base,"[516, 993, 1065, 1240, 1286, 2046, 2407, 3223, 3526, 3747, 3850, 3883, 3923, 3978, 4406, 4421, 4591, 4687, 5956, 5959, 6194, 6289, 6609, 6621, 6816, 7101, 7181, 7182, 7205, 7272, 7620, 7727, 7894, 8382, 8891]",
transcribed_df_whisper_nb-whisper-base-verbatim_v2,"[388, 396, 516, 687, 803, 1286, 1318, 1438, 1837, 1986, 2003, 2064, 2191, 2228, 2277, 2283, 2407, 2627, 2707, 2716, 2843, 2860, 2989, 3024, 3137, 3146, 3223, 3332, 3372, 3433, 3452, 3498, 3663, 3722, 3747, 3819, 3836, 3850, 3941, 3955, 3978, 4036, 4106, 4203, 4211, 4287, 4414, 4430, 4654, 4736, 4737, 4744, 4908, 4998, 5291, 5438, 5539, 5562, 5577, 5625, 5719, 5862, 5956, 6007, 6092, 6492, 6609, 6621, 6698, 6739, 6816, 7182, 7348, 7389, 7517, 7522, 7620, 7653, 7655, 7774, 7911, 8040, 8060, 8136, 8275, 8356, 8365, 8382, 8604, 8615, 8697, 8753, 8891, 9071, 9084, 9094, 9165]",
